African,african
American (Traditional),tradamerican
Asian Fusion,asianfusion
Bagels,bagels
Bakeries,bakeries
Barbeque,bbq
Belgian,belgian
Brazilian,brazilian
Breakfast & Brunch,breakfast_brunch
British,british
Buffets,buffets
Burgers,burgers
Cafes,cafes
Cajun/Creole,cajun
Canadian (New),newcanadian
Caribbean,caribbean
Chinese,chinese
Coffee & Tea,coffee
Comfort Food,comfortfood
Creperies,creperies
Desserts,desserts
Diners,diners
Dinner Theater,dinnertheater
Donairs,donairs
Donuts,donuts
Ethiopian,ethiopian
Fish & Chips,fishnchips
Food Stands,foodstands
Food Trucks,foodtrucks
French,french
German,german
Gluten-Free,gluten_free
Greek,greek
Hawaiian,hawaiian
Hot Dogs,hotdog
Ice Cream & Frozen Yogurt,icecream
Indian,indpak
Indonesian,indonesian
Irish,irish
Italian,italian
Japanese,japanese
Juice Bars & Smoothies,juicebars
Korean,korean
Kosher,kosher
Live/Raw Food,raw_food
Mediterranean,mediterranean
Mexican,mexican
Middle Eastern,mideastern
Mongolian,mongolian
Moroccan,moroccan
Organic Stores,organic_stores
Pizza,pizza
Portuguese,portuguese
Poutineries,poutineries
Salad,salad
Sandwiches,sandwiches
Seafood,seafood
Soup,soup
Southern,southern
Spanish,spanish
Specialty Food,gourmet
Steakhouses,steak
Sushi Bars,sushi
Taiwanese,taiwanese
Thai,thai
Ukrainian,ukrainian
Vegan,vegan
Vegetarian,vegetarian
Vietnamese,vietnamese
Waffles,waffles